longitude,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,neighbourhood_n,room_type_n
-73.95039,3.0,0.0,1.0,0.0,6.0,1.0
-73.91187,60.0,17.0,2.0,74.0,21.0,0.0
-73.93016,1.0,1.0,1.0,0.0,30.0,0.0
-73.76951,3.0,146.0,2.0,23.0,46.0,1.0
-73.92513,6.0,0.0,1.0,0.0,56.0,0.0
-73.98042,2.0,129.0,1.0,14.0,8.0,1.0
-73.98108,1.0,5.0,1.0,0.0,26.0,1.0
-73.95867,3.0,0.0,1.0,248.0,22.0,0.0
-73.96631,3.0,1.0,1.0,16.0,12.0,1.0
-73.95899,2.0,0.0,1.0,305.0,12.0,0.0
-73.94682,20.0,1.0,1.0,64.0,15.0,0.0
-73.96038,1.0,25.0,1.0,0.0,28.0,1.0
-73.92751,1.0,0.0,1.0,180.0,42.0,0.0
-73.95457,2.0,0.0,4.0,275.0,6.0,1.0
-73.93022,2.0,76.0,1.0,234.0,21.0,0.0
-73.94781,14.0,2.0,1.0,21.0,20.0,0.0
-73.93198,1.0,28.0,3.0,364.0,30.0,1.0
-74.00302,1.0,6.0,1.0,0.0,11.0,1.0
-74.01898,3.0,0.0,1.0,0.0,79.0,1.0
-73.93,4.0,0.0,1.0,0.0,12.0,1.0
-73.93657,19.0,0.0,43.0,347.0,54.0,0.0
-73.90947,28.0,3.0,5.0,312.0,6.0,1.0
-73.94397,1.0,0.0,2.0,1.0,12.0,1.0
-73.97501,14.0,1.0,1.0,0.0,17.0,1.0
-73.95072,2.0,7.0,2.0,66.0,28.0,0.0
-73.91361,4.0,42.0,2.0,1.0,39.0,0.0
-73.91993,2.0,3.0,1.0,0.0,21.0,0.0
-73.9962,5.0,0.0,1.0,0.0,14.0,1.0
-73.98308,28.0,12.0,1.0,38.0,23.0,1.0
-74.01043,2.0,12.0,1.0,35.0,11.0,0.0
-73.96854,3.0,15.0,1.0,358.0,12.0,0.0
-73.97895,2.0,7.0,1.0,27.0,23.0,1.0
-73.95647,3.0,91.0,2.0,223.0,45.0,1.0
-73.92075,1.0,168.0,3.0,322.0,39.0,0.0
-73.96522,30.0,0.0,14.0,332.0,1.0,1.0
-73.9733,3.0,9.0,1.0,0.0,13.0,1.0
-73.96677,7.0,3.0,1.0,189.0,3.0,1.0
-73.9425,3.0,19.0,1.0,0.0,12.0,1.0
-73.98496,1.0,2.0,1.0,0.0,23.0,1.0
-73.94789,14.0,0.0,1.0,0.0,28.0,1.0
-73.8466,2.0,37.0,1.0,21.0,63.0,1.0
-73.95211,2.0,3.0,1.0,35.0,2.0,1.0
-73.93038,4.0,0.0,1.0,39.0,25.0,1.0
-73.96465,1.0,0.0,1.0,0.0,8.0,0.0
-73.95103,3.0,58.0,1.0,70.0,20.0,1.0
-73.94764,30.0,3.0,8.0,189.0,15.0,0.0
-73.99031,4.0,12.0,1.0,203.0,9.0,1.0
-73.96026,30.0,2.0,21.0,342.0,3.0,1.0
-73.99228,1.0,1.0,2.0,0.0,1.0,0.0
-73.94351,1.0,0.0,1.0,0.0,15.0,1.0
-73.93993,7.0,0.0,1.0,29.0,12.0,1.0
-73.98146,1.0,6.0,1.0,180.0,132.0,0.0
-73.95489,7.0,1.0,1.0,35.0,15.0,1.0
-73.92295,15.0,0.0,1.0,176.0,21.0,0.0
-73.98866,1.0,2.0,2.0,159.0,23.0,1.0
-73.99994,30.0,0.0,2.0,140.0,7.0,0.0
-73.97997,25.0,0.0,1.0,54.0,26.0,1.0
-73.94174,3.0,50.0,2.0,38.0,2.0,0.0
-73.98899,1.0,1.0,1.0,0.0,38.0,1.0
-73.9946,4.0,0.0,1.0,0.0,14.0,1.0
-73.91744,1.0,38.0,2.0,344.0,18.0,0.0
-73.9574,3.0,9.0,1.0,0.0,6.0,0.0
-73.99504,3.0,1.0,1.0,0.0,7.0,1.0
-73.95528,2.0,11.0,1.0,18.0,2.0,1.0
-73.96605,3.0,1.0,1.0,0.0,8.0,0.0
-74.02268,1.0,8.0,2.0,339.0,90.0,0.0
-73.95248,2.0,68.0,1.0,9.0,20.0,0.0
-73.99435,30.0,3.0,31.0,339.0,7.0,1.0
-73.9774,3.0,14.0,3.0,0.0,13.0,0.0
-73.99473,1.0,0.0,1.0,0.0,52.0,0.0
-73.92726,1.0,0.0,1.0,16.0,18.0,1.0
-73.98532,3.0,0.0,2.0,0.0,8.0,0.0
-74.00572,5.0,3.0,1.0,0.0,11.0,1.0
-73.9996,30.0,0.0,121.0,364.0,7.0,1.0
-73.95033,1.0,23.0,2.0,97.0,2.0,0.0
-73.988,2.0,0.0,1.0,0.0,7.0,1.0
-73.94432,3.0,16.0,2.0,66.0,12.0,1.0
-73.9753,2.0,29.0,1.0,55.0,19.0,1.0
-73.92348,29.0,1.0,37.0,32.0,18.0,0.0
-73.99203,2.0,0.0,1.0,0.0,7.0,1.0
-73.94356,2.0,2.0,2.0,81.0,24.0,0.0
-74.08206,1.0,17.0,1.0,0.0,93.0,0.0
-73.87336,1.0,257.0,6.0,351.0,103.0,0.0
-73.98159,3.0,7.0,1.0,5.0,8.0,1.0
-73.99331,2.0,146.0,1.0,112.0,23.0,1.0
-73.96651,3.0,3.0,1.0,0.0,3.0,1.0
-73.96423,3.0,4.0,1.0,0.0,29.0,0.0
-74.01183,2.0,8.0,327.0,333.0,43.0,1.0
-73.83101,2.0,16.0,2.0,6.0,116.0,0.0
-73.92116,2.0,4.0,1.0,0.0,6.0,0.0
-73.94664,2.0,110.0,4.0,237.0,4.0,0.0
-73.95289,2.0,0.0,3.0,188.0,2.0,0.0
-73.93405,1.0,86.0,9.0,301.0,25.0,0.0
-73.9659,30.0,2.0,96.0,310.0,8.0,1.0
-73.9426,30.0,0.0,3.0,364.0,12.0,0.0
-73.95697,2.0,0.0,1.0,30.0,12.0,1.0
-73.97623,30.0,3.0,10.0,365.0,8.0,0.0
-73.9369,3.0,2.0,1.0,0.0,6.0,0.0
-73.94915,1.0,3.0,2.0,171.0,54.0,0.0
-73.95712,2.0,131.0,2.0,120.0,20.0,0.0
-73.98069,1.0,0.0,1.0,0.0,68.0,2.0
-73.95684,3.0,5.0,1.0,0.0,22.0,0.0
-73.96405,5.0,3.0,1.0,31.0,12.0,0.0
-73.79465,3.0,75.0,2.0,174.0,37.0,1.0
