latitude,longitude,minimum_nights,calculated_host_listings_count,neighbourhood_n,neighbourhood_group_n,room_type_n
0.48043772285748787,0.5948666804659126,0.25,0.0,0.09545454545454544,0.0,0.5
0.7504241977130164,0.5605253749317853,0.16666666666666669,0.0,0.00909090909090909,0.25,0.5
0.709307758514683,0.5060308977664079,0.16666666666666669,0.0,0.03636363636363636,0.25,0.5
0.6235337513832491,0.47375947914119365,0.08333333333333333,0.0,0.031818181818181815,0.25,0.5
0.4224025574818455,0.6051220292418691,0.0,0.3333333333333333,0.02727272727272727,0.0,0.0
0.3593999754088202,0.4979395216679734,0.0,1.0,0.07727272727272727,0.0,0.0
0.681716463789499,0.5072540127580396,0.16666666666666669,0.0,0.03636363636363636,0.25,0.5
0.5713021025451752,0.6022806390305391,0.9999999999999999,0.0,0.17727272727272728,0.5,0.0
0.624517398254028,0.4755471087443368,0.0,1.0,0.031818181818181815,0.25,0.0
0.28056067871632706,0.31972225881114014,0.08333333333333333,0.0,0.40454545454545454,0.75,0.5
0.7757531046354273,0.5434393993564584,0.0,0.6666666666666667,0.00909090909090909,0.25,0.0
0.5393335792450387,0.4904691116421702,0.49999999999999994,0.0,0.08636363636363636,0.25,0.0
0.5510143858354724,0.7359576990384653,0.0,0.0,0.39545454545454545,0.5,0.0
0.5584655108815895,0.5453775661893587,0.16666666666666669,0.3333333333333333,0.09090909090909091,0.0,0.5
0.6480265584655172,0.6149445834822984,0.08333333333333333,0.0,0.2545454545454545,0.5,0.5
0.7774990778310524,0.5470899271776091,0.25,0.3333333333333333,0.00909090909090909,0.25,0.0
0.5729005287101785,0.4626573584479843,0.16666666666666669,0.3333333333333333,0.06363636363636363,0.25,0.0
0.4512480019672864,0.5097566942024514,0.25,0.0,0.05909090909090909,0.0,0.5
0.4397639247510057,0.5338802852680544,0.16666666666666669,0.0,0.013636363636363636,0.0,0.5
0.5568916758883518,0.5500442203112357,0.0,0.0,0.09090909090909091,0.0,0.0
0.5335792450510297,0.5667726699659568,0.0,0.0,0.09090909090909091,0.0,0.5
0.5691380794294787,0.4747191539807716,0.08333333333333333,0.3333333333333333,0.06363636363636363,0.25,0.0
0.6724947743759913,0.54494477165386,0.25,0.0,0.12727272727272726,0.25,0.5
0.6434034181728805,0.6310520670643314,0.08333333333333333,0.0,0.2545454545454545,0.5,0.5
0.5339481126275558,0.4920121182470041,0.16666666666666669,0.0,0.08636363636363636,0.25,0.5
0.5529816795770159,0.45099072314320665,0.16666666666666669,0.0,0.049999999999999996,0.25,0.5
0.5400713143981335,0.5028884330956203,0.16666666666666669,0.0,0.08636363636363636,0.25,0.5
0.5786548629042159,0.4611143518431504,0.3333333333333333,0.0,0.06363636363636363,0.25,0.0
0.612320177056418,0.4692998137101938,0.49999999999999994,1.0,0.031818181818181815,0.25,0.0
0.6329521701709098,0.4731385130685055,0.3333333333333333,0.3333333333333333,0.031818181818181815,0.25,0.5
0.456977744989544,0.5386033908511081,0.25,0.0,0.02727272727272727,0.0,0.0
0.42591909504486125,0.5290819110701364,0.0,0.0,0.06818181818181818,0.0,0.5
0.5439321283659098,0.572286096005115,0.9999999999999999,1.0,0.09090909090909091,0.0,0.5
0.5202508299520474,0.5233803134937887,0.7499999999999999,0.3333333333333333,0.05454545454545454,0.0,0.0
0.5238165498585943,0.4656869201964753,0.0,0.0,0.2409090909090909,0.25,0.5
0.4520841018074435,0.5532243192894839,0.9999999999999999,1.0,0.02727272727272727,0.0,0.0
0.459240132792317,0.5206518262047553,0.0,0.0,0.013636363636363636,0.0,0.0
0.5594983400958995,0.4633159588280762,0.08333333333333333,0.0,0.23636363636363636,0.25,0.5
0.6836591663592628,0.6229042395047202,0.0,0.0,0.22272727272727272,0.5,0.0
0.42449280708224535,0.6285870199273802,0.0,1.0,0.02727272727272727,0.0,0.0
0.5938276158858855,0.6212295128238736,0.9999999999999999,0.0,0.17727272727272728,0.5,0.5
0.47419156522808237,0.6445063319722237,0.08333333333333333,0.0,0.19999999999999998,0.5,0.0
